Minute,Forecast_SM
315,0.434138
316,0.434136
317,0.43434665
318,0.43444985
319,0.4344706
320,0.43446925
321,0.43450838
322,0.43440598
323,0.43444458
324,0.4344866
325,0.4344513
326,0.4344266
327,0.43436852
328,0.43444613
329,0.43443954
330,0.43439862
331,0.43444034
332,0.43453076
333,0.43445727
334,0.4343584
335,0.43435025
336,0.43433076
337,0.4342629
338,0.4342434
339,0.43422818
340,0.4342225
341,0.43423888
342,0.43426213
343,0.4342795
344,0.43429857
345,0.43429092
346,0.43429372
347,0.43430004
348,0.4342776
349,0.43427864
350,0.43426698
351,0.43425676
352,0.43423033
353,0.43422353
354,0.43420753
355,0.4342218
356,0.4342329
357,0.43424255
358,0.4342419
359,0.43422952
360,0.4342403
361,0.43424147
362,0.4342681
363,0.4342506
364,0.4342425
365,0.43423647
366,0.43423045
367,0.4342334
368,0.43423006
369,0.43423817
370,0.43423477
371,0.43424246
372,0.43424383
373,0.43425635
374,0.43424916
375,0.43424132
376,0.43423578
377,0.43424082
378,0.43422967
379,0.4342171
380,0.4342262
381,0.43424106
382,0.43425187
383,0.43425223
384,0.43426502
385,0.434266
386,0.4342604
387,0.43426627
388,0.43424934
389,0.43426666
390,0.43426478
391,0.43422076
392,0.43421483
393,0.4342391
394,0.43425784
395,0.4342611
396,0.4342682
397,0.4342591
398,0.43426368
399,0.4342393
400,0.43425143
401,0.43424836
402,0.43424004
403,0.4342272
404,0.434237
405,0.43424603
406,0.43425223
407,0.4342709
408,0.43426847
409,0.43427548
410,0.43429762
411,0.43429378
412,0.43427977
413,0.4342682
414,0.4342635
415,0.4342599
416,0.4342577
417,0.43425298
418,0.43424925
419,0.43423545
420,0.4342452
421,0.43425378
422,0.43425605
423,0.43424943
424,0.43424273
425,0.43423983
426,0.43425173
427,0.43425134
428,0.43423003
429,0.43423054
430,0.4342411
431,0.4342255
432,0.4342459
433,0.4342526
434,0.4342463
435,0.43425804
436,0.43424588
437,0.43424046
438,0.43423855
439,0.43424046
440,0.4342482
441,0.4342615
442,0.4342378
443,0.4342469
444,0.4342656
445,0.43425065
446,0.43425253
447,0.4342575
448,0.4342578
449,0.4342435
450,0.4342436
451,0.43423805
452,0.4342295
453,0.43423188
454,0.43424192
455,0.43425125
456,0.4342461
457,0.43424422
458,0.43424088
459,0.43424496
460,0.43423316
461,0.43423304
462,0.43423703
463,0.43423223
464,0.43422428
465,0.43424073
466,0.43424138
467,0.4342295
468,0.43423352
469,0.43424767
470,0.4342524
471,0.4342521
472,0.4342447
473,0.43424988
474,0.4342475
475,0.43424416
476,0.43424973
477,0.4342525
478,0.43425608
479,0.43424177
480,0.43424878
481,0.43425754
482,0.4342602
483,0.43424785
484,0.43425488
485,0.434249
486,0.4342541
487,0.43425497
488,0.43424594
489,0.43424994
490,0.43423492
491,0.4342409
492,0.43423495
493,0.4342463
494,0.43424994
495,0.4342488
496,0.4342562
497,0.4342505
498,0.4342601
499,0.43427286
500,0.43426457
501,0.43425843
502,0.43427822
503,0.43426475
504,0.4342646
505,0.4342598
506,0.43425104
507,0.4342497
508,0.4342556
509,0.4342607
510,0.43426308
511,0.43426126
512,0.43426082
513,0.4342752
514,0.43429253
515,0.43427905
516,0.43428028
517,0.4342871
518,0.43428645
519,0.4342763
520,0.43427885
521,0.43428522
522,0.43427965
523,0.43427444
524,0.43428096
525,0.4342902
526,0.434283
527,0.43427894
528,0.43428025
529,0.43428448
530,0.43427593
531,0.43427277
532,0.43428153
533,0.43428028
534,0.4342783
535,0.4342792
536,0.4342875
537,0.43428904
538,0.43428636
539,0.4342868
540,0.43428385
541,0.4342839
542,0.4342842
543,0.4342808
544,0.43427578
545,0.43427408
546,0.4342763
547,0.4342858
548,0.43428087
549,0.43427604
550,0.43427733
551,0.4342814
552,0.43427494
553,0.4342733
554,0.43427753
555,0.43427408
556,0.4342696
557,0.43426746
558,0.4342669
559,0.43427238
560,0.4342696
561,0.43426916
562,0.434269
563,0.434272
564,0.43426794
565,0.43427065
566,0.43427363
567,0.43427035
568,0.4342673
569,0.43427196
570,0.43427584
571,0.43427345
572,0.43426946
573,0.43427038
574,0.43427786
575,0.4342801
576,0.43427297
577,0.43427154
578,0.434274
579,0.43427676
580,0.43427238
581,0.43427077
582,0.43427137
583,0.43427444
584,0.43427354
585,0.43427008
586,0.43427795
587,0.43428114
588,0.43427756
589,0.43427017
590,0.4342721
591,0.43427616
592,0.4342775
593,0.43427005
594,0.43426728
595,0.43427148
596,0.4342736
597,0.43427283
598,0.43427232
599,0.43427578
600,0.43427387
601,0.43427446
602,0.43428025
603,0.43427998
604,0.43427694
605,0.43427843
