Minute,Forecast_SM
763,0.37632203
764,0.3765165
765,0.37651372
766,0.37671766
767,0.37704265
768,0.37723377
769,0.37745643
770,0.377902
771,0.3782201
772,0.37844345
773,0.3785405
774,0.37876996
775,0.37899333
776,0.37904057
777,0.37909448
778,0.37932312
779,0.37952197
780,0.37972328
781,0.37983936
782,0.3799647
783,0.38001052
784,0.38001218
785,0.38016725
786,0.38033995
787,0.3805312
788,0.3806627
789,0.3807027
790,0.38077933
791,0.38079354
792,0.38074726
793,0.38073403
794,0.38077614
795,0.3808981
796,0.38094407
797,0.38096392
798,0.38102546
799,0.38102707
800,0.38094422
801,0.38092417
802,0.38097322
803,0.38107878
804,0.38112414
805,0.3811627
806,0.3811626
807,0.3811335
808,0.3810745
809,0.38103363
810,0.38102746
811,0.3811031
812,0.38115555
813,0.381203
814,0.3812494
815,0.38126668
816,0.3811637
817,0.38110414
818,0.38107193
819,0.38109684
820,0.38109368
821,0.38111272
822,0.3810632
823,0.3809858
824,0.38091585
825,0.38087907
826,0.38090387
827,0.380965
828,0.38096482
829,0.38098162
830,0.38099843
831,0.38099602
832,0.38093182
833,0.38091347
834,0.38091066
835,0.38093475
836,0.3808805
837,0.38081953
838,0.38079602
839,0.38077053
840,0.38070863
841,0.38066253
842,0.38070083
843,0.3807311
844,0.3807307
845,0.3807206
846,0.38068908
847,0.3806661
848,0.38056627
849,0.38048458
850,0.38050002
851,0.38050938
852,0.38047522
853,0.3804811
854,0.3805031
855,0.38048616
856,0.38046783
857,0.38041914
858,0.38040218
859,0.38040197
860,0.3803499
861,0.38033527
862,0.38035122
863,0.38030827
864,0.3802724
865,0.38024434
866,0.38027665
867,0.38032728
868,0.3803112
869,0.3803161
870,0.38032275
871,0.3802922
872,0.38021246
873,0.38012055
874,0.38011056
875,0.38009018
876,0.38007113
877,0.38013637
878,0.3802184
879,0.38026637
880,0.38029462
881,0.3802889
882,0.38030484
883,0.38030824
884,0.3802572
885,0.38023382
886,0.38019875
887,0.3801859
888,0.3802158
889,0.38021335
890,0.3802754
891,0.38034818
892,0.3803906
893,0.38044283
894,0.38045466
895,0.3804886
896,0.38044327
897,0.3803621
898,0.38035706
899,0.38030872
900,0.38029125
901,0.3803029
902,0.38029474
903,0.38031226
904,0.3803183
905,0.38032168
906,0.3803606
907,0.3803826
908,0.38038072
909,0.38038456
910,0.38038993
911,0.38039848
912,0.38036847
913,0.38034686
914,0.3803854
915,0.38039473
916,0.38038325
917,0.38037246
918,0.38036513
919,0.38039118
920,0.38038307
921,0.38038328
922,0.38042057
923,0.38043252
924,0.38044167
925,0.380429
926,0.38041607
927,0.38043153
928,0.38040793
929,0.38038594
930,0.3804244
931,0.3804527
932,0.38046628
933,0.3804781
934,0.38048577
935,0.38049978
936,0.38048127
937,0.38047773
938,0.38051295
939,0.380515
940,0.38049695
941,0.38049284
942,0.38049626
943,0.38050848
944,0.3804911
945,0.38048398
946,0.3805243
947,0.38053688
948,0.38053125
949,0.38053802
950,0.3805573
951,0.38057593
952,0.38053718
953,0.3805214
954,0.3805656
955,0.3805886
956,0.38058627
957,0.38059124
958,0.38060975
959,0.3806253
960,0.3806028
961,0.38060108
962,0.38063082
963,0.3806258
964,0.3806236
965,0.38062957
966,0.38063493
967,0.3806481
968,0.38062823
969,0.38062
970,0.3806422
971,0.38064876
972,0.3806504
973,0.38065308
974,0.3806668
975,0.38067538
976,0.38065657
977,0.38066167
978,0.3806912
979,0.38068414
980,0.38067067
981,0.38067394
982,0.38068715
983,0.3806992
984,0.38068143
985,0.38067386
986,0.380683
987,0.3806672
988,0.38065752
989,0.38066608
990,0.3806806
991,0.38070586
992,0.38069087
993,0.38067836
994,0.3807067
995,0.380704
996,0.38068685
997,0.38067943
998,0.3806666
999,0.38066638
1000,0.38065287
1001,0.38065842
1002,0.38067362
1003,0.38066474
1004,0.38065836
1005,0.38065726
1006,0.3806638
1007,0.38068378
1008,0.3806774
1009,0.380679
1010,0.38068497
1011,0.38067216
1012,0.380666
1013,0.38066024
1014,0.38064837
1015,0.38064504
1016,0.38062617
1017,0.38063937
1018,0.380667
1019,0.38066807
1020,0.3806605
1021,0.38065502
1022,0.38064778
1023,0.38064608
1024,0.3806336
1025,0.38064095
1026,0.38064525
1027,0.38063446
1028,0.380621
1029,0.38061208
1030,0.38061535
1031,0.3806194
1032,0.38060048
1033,0.38060603
1034,0.38062635
1035,0.38063255
1036,0.38062447
1037,0.38060912
1038,0.38060024
1039,0.38059202
1040,0.3805685
1041,0.38057652
1042,0.38058972
1043,0.3805857
1044,0.38057503
1045,0.38056478
1046,0.38056242
1047,0.3805541
1048,0.38053358
1049,0.38053483
1050,0.380541
1051,0.38053623
1052,0.38052288
1053,0.38051477
