Minute,Forecast_SM,Cluster_Used
288,0.43417751106688174,3
289,0.4341776599913153,3
290,0.4341774031186976,3
291,0.4341766761207231,3
292,0.4341753172954179,3
293,0.43417317022806645,3
294,0.43417040499213416,3
295,0.43416730709955287,3
296,0.4341641453192709,3
297,0.4341614439710394,3
298,0.4341597617417868,3
299,0.43415920173304395,3
300,0.4341595550981201,3
301,0.43416051737907546,3
302,0.4341618026233735,3
303,0.434163123556663,3
304,0.43416414311624674,3
305,0.4341646828571672,3
306,0.4341648225288993,3
307,0.4341646881444252,3
308,0.434164443168138,3
309,0.43416441144459006,3
310,0.43416484984639897,3
311,0.43416580419646733,3
312,0.4341672180973767,3
313,0.43416901884932935,3
314,0.43417113903978605,3
315,0.4341734614678611,3
316,0.4341757349887997,3
317,0.43417768863062944,3
318,0.4341791690628685,3
319,0.43418012076930795,3
320,0.43418060719704366,3
321,0.4341807993007509,3
322,0.434180870238129,3
323,0.4341809447003458,3
324,0.43418109714961806,3
325,0.4341813593094937,3
326,0.4341817558538435,3
327,0.4341822444846033,3
328,0.43418265248467874,3
329,0.43418277541342715,3
330,0.43418250223843063,3
331,0.434181836043923,3
332,0.43418087376296766,3
333,0.43417975947334486,3
334,0.4341786315249722,3
335,0.43417760050966286,3
336,0.4341767356023756,3
337,0.43417608086359366,3
338,0.43417567682896174,3
339,0.4341755142457783,3
340,0.434175496621585,3
341,0.4341754970621899,3
342,0.43417541599090054,3
343,0.43417519612908884,3
344,0.43417483351131125,3
345,0.4341743594205109,3
346,0.43417382188261455,3
347,0.43417328831016166,3
348,0.4341728406556513,3
349,0.4341725560249292,3
350,0.4341724864093655,3
351,0.43417262784351696,3
352,0.43417292084573095,3
353,0.4341732817010892,3
354,0.43417362052620584,3
355,0.43417386858672685,3
356,0.4341739915154753,3
357,0.43417397917853995,3
358,0.43417384347225135,3
359,0.4341736324225363,3
360,0.4341734240164503,3
361,0.4341733006470971,3
362,0.43417332135552417,3
363,0.4341735015629009,3
364,0.43417382056080006,3
365,0.43417423120450443,3
366,0.4341746709281279,3
367,0.4341750754033646,3
368,0.43417539307944925,3
369,0.4341755873861806,3
370,0.43417564554601856,3
371,0.4341755913516241,3
372,0.4341754763537627,3
373,0.4341753670837641,3
374,0.43417532126086145,3
375,0.4341753745740462,3
376,0.43417553759783445,3
377,0.4341758037231536,3
378,0.43417614078585093,3
379,0.4341764972351609,3
380,0.43417681314882617,3
381,0.434177035213662,3
382,0.4341771334685398,3
383,0.4341771087946692,3
384,0.43417699555922706,3
385,0.4341768466347935,3
386,0.4341767144533436,3
387,0.4341766386693123,3
388,0.43417664704080416,3
389,0.4341767479393109,3
390,0.4341769303497118,3
391,0.43417716387027333,3
392,0.43417740399990734,3
393,0.434177602712687,3
394,0.4341777225572016,3
395,0.4341777445874433,3
396,0.4341776696846216,3
397,0.4341775172353494,3
398,0.4341773185225697,3
399,0.43417711099769335,3
400,0.43417693299334076,3
401,0.43417681667366487,3
402,0.4341767783410444,3
403,0.43417681403003583,3
404,0.43417690038858314,3
405,0.4341769999652754,3
406,0.4341770770711212,3
407,0.43417710394801595,3
408,0.434177064293581,3
409,0.4341769559047921,3
410,0.4341767911185845,3
411,0.4341765932870145,3
412,0.43417639325242025,3
413,0.4341762245007692,3
414,0.4341761134683513,3
415,0.434176074695126,3
416,0.4341761055374643,3
417,0.4341761896929874,3
418,0.4341762994035908,3
419,0.4341764033863314,3
420,0.4341764677146371,3
421,0.4341764659522177,3
422,0.4341763870839526,3
423,0.434176238159519,3
424,0.4341760420903683,3
425,0.4341758367685161,3
426,0.4341756605265829,3
427,0.4341755420038828,3
428,0.4341754983840043,3
429,0.43417553010755233,3
430,0.4341756230751721,3
431,0.4341757534942027,3
432,0.4341758887598864,3
433,0.43417599582686084,3
434,0.43417605178367463,3
435,0.4341760451746021,3
436,0.43417598084629655,3
437,0.43417587906658006,3
438,0.434175768474767,3
439,0.434175678591381,3
440,0.43417563629331707,3
441,0.43417565876416353,3
442,0.4341757508505737,3
443,0.4341759019780314,3
444,0.43417608923508544,3
445,0.43417628045758305,3
446,0.43417644524379057,3
447,0.4341765611228617,3
448,0.43417661663907064,3
449,0.4341766135548368,3
450,0.4341765659695148,3
451,0.43417649503213673,3
452,0.43417642365415376,3
453,0.4341763756282269,3
454,0.43417636681613025,3
455,0.4341764051487508,3
456,0.4341764857794352,3
457,0.4341765950494338,3
458,0.4341767140127387,3
459,0.4341768210797132,3
460,0.43417689730434933,3
461,0.4341769294685021,3
